Transaction Type,Project Name,Status,Order Creation Date,Order Number,Process Group,ABT_Sch_Compl_Date,ABT_Act_Compl_Date,BD_Act_Compl_Date,Order Actual Sales No Freight,Order Est Weight Tons,Order Eng Manifest Total Tons,Order Actual Shipped Tons,Budget Hours,Actual Hours,Engineering Amt,Order Est Margin No Freight,Order Est Margin % No Freight,Order Actual Margin,Order Actual Margin %,Complexity,ECK_Date,ECK_Lead_Wks,Division,Region
VP/Z-CUSTOM-BLDR,FAMILY DOLLAR - W. TERRE HAUTE,CLOSED,2015-04-17,1500660201,IN,2015-10-07,2015-10-07,2015-11-05,67157.47,26.4995,26.190620825,26.190620825,90.5,100.7,12319.13,9456.69,14.08,10799.01,15.48,Simple (<=100),2015-10-21,,VP,VSO
VP/Z-CUSTOM-BLDR,FAMILY DOLLAR - WALKERVILLE MI,CLOSED,2015-02-04,1500201001,IN,2015-07-09,2015-07-09,2015-09-29,81238.97,31.3075,30.98438348,30.98438348,87.7,109.85,11763.38,17963.28,22.11,16106.76,18.9,Simple (<=100),2015-07-22,,VP,VSO
VP/Z-CUSTOM-BLDR,"FAMILY DOLLAR - WEST MEMPHIS,",CLOSED,2016-06-15,1601429401,IN,,,2016-09-16,74049.3,29.542,39.257715675,39.257715675,105.4,172.95,16427.87,11525.63,15.57,-4811.31,-6.08,Moderate (100-200),2016-09-16,,VP,VSO
VP/Z-CUSTOM-BLDR,"FAMILY DOLLAR - WICHITA FALLS,",CLOSED,2016-08-16,1601914001,IN,,,2016-11-15,75987.18,30.019,30.77439462,30.77439462,95,142.1,12997.32,14943.32,19.67,7579.33,9.13,Simple (<=100),2016-11-09,,VP,VSO
VP/Z-CUSTOM-BLDR,"FAMILY DOLLAR - WINONA, TX",CLOSED,2016-01-14,1600080001,IN,,,2016-03-23,63808.83,25.2575,26.944456025,26.944456025,91.5,45.35,11856,7649,11.99,10035.72,13.96,Simple (<=100),2016-03-22,,VP,VSO
VP/Z-CUSTOM-BLDR,FAMILY DOLLAR -- KNIGHTDALE NC,CLOSED,2018-04-29,1802976101,MEM,,,2018-08-10,117385.19,30.388,36.86893112,36.86893112,202.46,286,39991.77,31345.31,26.7,-771.59,-0.61,Complex (200-400),2018-08-10,,VP,VSO
VP/Z-CUSTOM-BLDR,"FAMILY DOLLAR AMANDA, OH",CLOSED,2015-06-08,1501001001,IN,2015-10-22,2015-10-20,2015-11-05,76725,24.734,24.478091745,24.478091745,92.5,121.3,11763.38,13687.92,17.84,18105.08,22.22,Simple (<=100),2015-11-04,,VP,VSO
VP/Z-CUSTOM-BLDR,FAMILY DOLLAR CONROE TX,CLOSED,2015-07-20,1501262301,IN,2015-10-16,2015-10-16,2015-12-09,60814.78,23.92,23.61608223,23.61608223,97.5,126.35,12689.63,8545.14,14.05,6364.65,9.6,Simple (<=100),2015-11-03,,VP,VSO
VP/Z-CUSTOM-BLDR,FAMILY DOLLAR LUFKIN TX,CLOSED,2015-09-15,1501652801,IN,2016-01-20,,2016-02-03,65167.85,24.93,25.293615355,25.293615355,94.6,140.2,11763.38,9801,15.04,4147.1,5.63,Simple (<=100),2016-02-03,,VP,VSO
VP/Z-CUSTOM-BLDR,FAMILY DOLLAR NEW BEDFORD MA C,CLOSED,2018-01-29,1802087901,MEM,,,2018-01-30,1450,0.25,0.25,0.25,0,0,0,381,26.28,381.09,26.28,Simple (<=100),,,VP,VDI
VP/Z-CUSTOM-BLDR,FAMILY DOLLAR PRESTONSBURG KY,CLOSED,2017-07-31,1701838701,IN,2017-08-29,2017-08-29,2017-09-11,84965.66,25.188,27.419230515,27.419230515,91.7,108.1,12797.37,10397,12.24,10634.22,11.93,Simple (<=100),2017-09-11,,VP,VSO
VP/Z-CUSTOM-BLDR,"FAMILY DOLLAR WILLIAMSPORT, OH",CLOSED,2015-06-08,1501004801,IN,2015-10-06,2015-10-06,2015-10-23,72181.47,26.049,26.229124615,26.229124615,88.1,114.5,10837.13,13241,18.34,13731.49,17.84,Simple (<=100),2015-10-21,,VP,VSO
VP/Z-CUSTOM-BLDR,FAMILY DOLLAR-BIRDSEYE IN,CLOSED,2014-08-27,1401681801,IN,2015-06-10,2015-06-10,2015-06-25,98433,25.6145,24.03167226,24.03167226,114,145.4,13893.75,15957.08,16.21,21569.13,21.17,Moderate (100-200),2015-06-24,,VP,VSO
VP/Z-CUSTOM-BLDR,FAMILY DOLLAR-FORT WAYNE IN,CLOSED,2014-02-21,1400338201,IN,2014-11-18,2014-11-18,2014-12-11,88594.78,26.201,26.18197488,26.18197488,120.1,111.3,12087,11039,12.46,15025.45,16.37,Moderate (100-200),2014-12-10,,VP,VSO
VP/Z-CUSTOM-BLDR,FAMILY DOLLAR-HUTCHINS TX,CLOSED,2014-08-15,1401605301,IN,2014-10-28,2014-10-27,2014-11-19,65198.33,26.702,25.06877422,25.06877422,92.1,85.5,9333,7694.71,11.8,8740.69,12.41,Simple (<=100),2014-11-17,,VP,VSO
VP/Z-CUSTOM-BLDR,FAMILY DOLLAR-KINGSTREE SC,CLOSED,2014-09-15,1401804901,IN,2014-11-19,2014-11-18,2014-12-09,66877.84,29.8185,28.555535315,28.555535315,118.5,132.67,12087,9125.44,13.65,2544.84,3.59,Moderate (100-200),2014-12-04,,VP,VDI
VP/Z-CUSTOM-BLDR,FAMILY DOLLAR-WARWICK RI,CLOSED,2017-03-30,1700865801,IN,2017-05-22,2017-05-22,2017-06-02,84284.32,30.7915,29.59536196,29.59536196,91.7,111.25,12597.41,10446,12.39,15641.9,17.2,Simple (<=100),2017-05-31,,VP,VDI
VP/Z-CUSTOM-BLDR,FAMILY DOLLOR SPECIAL COLOR PA,CLOSED,2016-08-24,1601973201,NC,,,2016-08-29,1288.34,0.3425,0.379659455,0.379659455,0,0,0,674.5,52.37,351.51,19.4,Simple (<=100),2016-08-24,,VP,VSO
VP/Z-CUSTOM-BLDR,FANCON - SRB - LOT 3,CLOSED,2016-03-14,1600222501,EVA,,2016-03-28,2016-05-09,107027.62,46.6755,46.564180965,46.564180965,156.5,300.25,31221.75,22322.48,20.86,4098.15,3.83,Moderate (100-200),2016-05-06,,VP,VNO
VP/Z-CUSTOM-BLDR,FANCON - SRB - LOT 5,CLOSED,2016-03-24,1600690401,IN,,,2016-05-20,86194.09,34.385,35.26414357,35.26414357,121,146.5,24139.5,24297.39,28.19,18312.57,21.25,Moderate (100-200),2016-05-20,,VP,VNO
VP/Z-CUSTOM-BLDR,FANCON - SRB LOT 2,CLOSED,2018-05-22,1803047401,EVA,,,2018-10-25,126064.26,32.9905,32.97064685,32.97064685,236,335.3,50593,41725,33.1,40488.04,31.13,Complex (200-400),2018-10-25,22.2857142857143,VP,VNO
